PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AirQualityIndex
28,40,21,9,10,33,12,40
20,42,21,9,4,54,27,54
55,59,11,9,10,11,27,59
44,59,19,6,7,32,28,59
83,85,19,3,17,33,65,85
56,58,28,7,7,18,59,59
25,32,16,7,12,52,37,52
77,110,41,7,8,74,46,110
59,57,26,2,8,52,40,59
45,52,10,2,18,74,41,74
53,52,13,2,5,32,20,53
38,48,22,17,45,16,23,48
81,48,25,17,29,16,4,81
46,73,16,6,11,19,70,73
59,75,109,11,27,58,95,109
45,71,25,7,20,53,60,71
50,63,20,6,20,68,49,68
94,129,27,2,23,23,34,129
55,23,33,1,10,14,11,23
43,48,38,3,11,14,24,48
39,59,31,2,4,19,25,59
8,19,4,2,7,28,32,32
18,29,24,4,3,19,19,29
30,51,50,2,6,44,17,51
31,36,10,1,15,20,15,36
61,36,69,1,17,13,27,69
54,36,22,1,45,41,58,58
60,36,69,1,48,62,71,71
58,84,53,5,14,42,67,84
88,88,69,5,64,45,70,88
25,38,5,5,22,74,4,74
52,63,22,2,4,31,24,63
16,21,5,1,4,13,1,21
42,70,9,3,3,16,3,70
55,59,39,4,40,21,39,59
46,55,21,3,1,23,72,72
35,53,18,14,2,111,58,111
46,67,21,6,5,148,48,148
36,67,21,6,25,35,34,36
74,84,16,6,36,18,41,84
61,62,15,11,5,29,47,62
48,77,6,11,8,24,41,77
37,80,34,11,41,21,15,80
41,53,27,2,6,17,29,53
51,56,21,6,15,27,8,56
51,50,14,3,6,13,15,50
45,67,14,17,2,54,15,67
75,67,17,17,6,54,26,75
47,64,19,10,9,16,40,64
48,64,6,10,21,32,18,48
157,112,64,12,1,17,29,157
85,121,34,4,21,82,19,121
54,66,16,12,6,26,73,73
18,21,12,2,4,84,6,84
61,21,16,2,4,31,18,61
15,38,26,1,9,45,8,45
27,34,12,2,32,13,9,34
13,20,9,1,8,17,11,20
25,19,6,8,4,27,9,27
50,46,25,6,9,21,39,50
20,34,9,6,4,37,39,37
25,43,14,2,16,25,21,43
31,42,13,2,9,19,8,42
42,68,76,3,59,28,32,76
23,29,7,5,11,35,51,51
77,63,19,3,12,31,12,77
11,22,26,9,17,17,17,26
19,30,13,1,54,74,33,74
19,19,8,1,74,67,6,74
23,55,22,1,15,25,18,55
23,10,27,5,15,37,16,37
33,32,10,7,12,99,4,99
61,62,11,3,8,40,20,62
35,104,29,3,8,40,20,104
56,67,40,15,6,46,19,67
55,57,12,3,6,38,38,57
40,55,32,5,21,45,11,55
32,68,32,5,4,35,41,68
60,65,12,5,11,11,41,65
56,71,34,8,7,19,25,71
103,102,17,2,18,34,34,103
40,49,36,12,12,49,25,49
134,145,29,12,10,59,35,145
39,50,15,3,14,50,41,50
68,72,40,8,9,33,30,72
59,82,26,4,14,63,20,82
63,82,10,4,6,96,16,96
26,24,7,1,11,84,22,84
21,30,20,9,33,17,17,33
41,30,28,9,31,17,17,41
55,108,22,6,11,12,63,108
48,59,26,8,9,24,35,59
50,76,64,6,13,41,40,76
41,69,20,6,17,23,28,69
56,69,45,6,7,23,30,56
53,107,33,10,13,67,100,107
50,107,19,10,4,63,31,63
61,75,14,7,10,25,22,75
41,55,12,5,13,38,38,55
47,70,21,4,19,10,39,70
16,15,2,1,13,10,12,16
16,26,2,1,14,10,14,26
15,26,15,2,12,17,17,26
10,14,6,2,7,12,25,25
27,37,26,1,4,19,16,37
19,42,12,2,7,44,38,44
37,44,14,1,16,21,16,44
60,44,48,1,17,42,14,60
102,44,11,1,47,72,106,106
89,44,89,1,68,82,106,89
87,92,41,7,14,43,39,92
25,26,5,7,22,83,4,83
32,23,8,1,5,40,24,40
35,60,9,3,2,36,3,60
101,109,31,5,40,29,45,109
90,92,17,2,2,34,76,92
93,128,24,17,3,63,70,128
137,126,19,4,6,29,31,137
150,172,50,6,7,152,101,172
33,124,9,13,4,28,53,124
164,131,15,13,4,41,136,164
145,143,19,6,50,32,48,145
118,90,20,17,3,95,66,118
82,121,7,8,6,30,35,121
147,137,25,8,38,42,22,147
