PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AirQualityIndex
66,40,79,1,21,72,27,79
105,40,95,1,56,64,119,105
90,88,45,7,13,37,67,90
88,111,52,7,76,79,50,111
37,67,15,5,23,70,4,70
43,49,18,2,5,27,23,49
38,103,8,3,1,24,3,103
57,75,23,3,42,19,60,75
69,80,14,4,4,32,87,87
58,72,43,26,2,55,44,72
83,85,17,4,7,31,52,85
77,85,20,5,4,87,100,100
132,104,18,5,60,26,69,132
81,75,13,7,3,22,63,81
44,59,6,11,11,30,35,59
73,104,9,11,23,32,30,104
58,72,18,3,10,24,31,72
111,122,33,20,12,20,62,122
47,122,8,20,10,33,17,47
176,105,19,2,4,19,39,176
84,87,29,4,8,32,14,87
106,113,21,3,10,26,154,154
25,64,11,2,4,26,28,64
43,64,20,2,4,49,14,49
20,36,26,1,16,44,7,44
28,95,11,3,32,16,14,95
24,40,21,1,7,22,18,40
39,49,21,6,6,34,19,49
13,23,6,8,5,26,9,26
38,50,15,8,8,16,36,50
21,54,9,8,8,17,36,54
26,42,12,1,16,26,22,42
42,59,10,2,6,17,8,59
50,85,63,3,47,28,45,85
30,38,5,4,10,37,48,48
48,70,18,3,14,30,18,70
66,57,26,4,37,53,11,66
26,49,56,9,1,36,1,56
29,42,4,1,3,19,34,42
29,30,4,1,54,74,34,74
34,34,8,1,74,66,6,74
55,84,12,4,11,94,7,94
40,73,10,2,8,52,2,73
67,68,20,2,17,7,35,68
29,66,21,5,7,33,18,66
38,45,11,3,8,50,30,50
39,68,21,4,6,50,21,68
40,61,28,3,23,32,60,61
97,103,37,7,8,24,53,103
36,59,36,12,13,47,43,59
96,120,41,12,14,65,52,120
28,44,5,8,18,29,26,44
57,80,46,8,6,31,39,80
65,107,8,4,12,30,23,107
37,107,10,4,7,76,15,76
33,25,3,1,11,83,25,83
72,97,34,6,50,16,31,97
53,97,23,6,27,16,31,53
70,90,17,8,6,44,64,90
91,103,59,5,18,47,131,131
105,138,35,11,9,53,160,160
47,138,25,11,5,46,26,47
72,88,20,6,5,34,44,88
92,89,26,7,21,63,38,92
62,77,43,2,20,22,28,77
28,34,18,4,6,15,40,40
27,41,20,2,10,40,62,62
23,35,28,5,3,20,16,35
61,76,32,1,16,45,55,76
36,40,7,1,16,21,18,40
64,40,80,1,21,75,28,80
104,40,93,1,57,72,109,104
92,90,46,7,13,34,73,92
88,111,51,7,78,75,52,111
37,67,15,5,23,71,4,71
43,49,18,2,5,28,23,49
40,103,8,3,1,24,3,103
58,77,23,3,41,20,61,77
68,81,14,4,4,35,99,99
60,74,45,26,2,53,48,74
84,87,18,4,8,30,52,87
78,87,20,5,4,75,108,108
134,106,18,6,60,26,74,134
81,76,13,7,3,22,69,81
46,61,6,11,11,28,36,61
75,107,9,11,24,32,32,107
59,74,18,3,10,25,34,74
114,124,34,19,12,19,58,124
48,124,8,19,10,33,18,48
180,106,18,2,4,18,41,180
86,90,28,4,8,29,15,90
106,114,21,3,10,24,132,132
25,66,12,2,4,24,28,66
44,66,20,2,4,50,15,50
20,36,26,1,16,44,7,44
28,93,11,3,32,16,14,93
25,41,24,1,7,26,17,41
39,49,21,6,6,34,19,49
13,23,6,8,5,25,9,25
39,52,15,8,8,15,37,52
21,55,9,8,8,16,37,55
26,45,12,1,15,27,22,45
42,59,10,2,7,16,8,59
51,86,64,3,47,28,48,86
31,39,5,4,10,37,48,48
47,70,18,3,14,31,20,70
66,57,26,4,37,46,12,66
26,49,56,9,1,39,1,56
30,42,4,1,3,19,34,42
30,30,4,1,54,74,34,74
35,35,8,1,74,66,6,74
54,83,14,4,11,95,7,95
42,73,11,2,7,51,2,73
66,67,20,2,17,5,36,67
30,68,22,5,7,34,18,68
37,45,11,3,7,49,31,49
38,67,22,4,6,47,23,67
40,61,28,3,24,31,63,63
100,104,39,7,7,24,60,104
38,61,35,11,12,46,46,61
96,120,41,11,14,67,53,120
28,44,6,8,18,28,29,44
56,79,46,8,6,30,44,79
66,107,9,4,12,30,23,107
41,107,10,4,7,85,15,85
34,26,4,1,11,84,27,84
74,97,34,6,50,16,33,97
54,97,24,6,27,16,33,54
72,93,18,8,7,42,70,93
93,105,59,5,18,44,140,140
107,140,36,11,9,51,161,161
46,140,25,11,4,46,26,46
73,90,21,6,6,36,48,90
97,92,28,7,21,65,40,97
63,77,43,2,18,23,28,77
28,34,18,5,6,15,38,38
28,41,19,2,10,40,62,62
23,34,28,5,3,20,16,34
63,80,36,2,16,50,50,80
36,40,7,1,16,21,18,40
63,40,79,1,21,72,29,79
104,40,89,1,58,81,98,104
95,94,46,7,13,34,75,95
87,111,53,7,77,67,52,111
37,67,15,5,23,72,4,72
43,48,18,2,5,31,23,48
42,103,8,3,1,27,3,103
60,80,23,3,39,20,62,80
68,81,14,4,4,40,105,105
62,77,45,26,2,55,52,77
85,88,18,4,8,29,54,88
79,88,21,5,4,65,109,109
137,107,18,6,60,25,77,137
82,78,14,7,3,23,72,82
48,63,6,12,11,27,36,63
77,110,10,12,26,32,32,110
62,76,18,3,10,25,35,76
117,127,35,19,13,19,57,127
48,127,8,19,10,32,18,48
184,107,18,2,4,19,42,184
88,93,27,4,8,29,13,93
107,115,21,3,10,22,135,135
25,66,12,2,4,22,27,66
45,66,20,2,4,46,15,46
20,35,26,1,16,44,8,44
28,92,11,3,32,15,14,92
25,43,24,1,7,29,17,43
39,49,22,6,6,31,18,49
13,23,6,8,5,25,9,25
39,54,16,8,8,16,35,54
22,56,9,8,8,16,35,56
26,48,13,1,15,27,21,48
42,60,10,2,7,16,8,60
52,88,65,3,48,31,47,88
31,39,5,4,10,37,46,46
47,70,18,3,14,32,20,70
66,56,26,4,37,52,12,66
27,49,57,9,1,43,1,57
30,43,4,1,3,18,34,43
30,30,4,1,54,74,34,74
36,36,8,1,74,66,6,74
55,84,14,4,10,96,6,96
41,72,11,2,7,51,2,72
66,66,20,2,16,5,36,66
31,68,21,6,7,35,19,68
37,46,11,3,7,48,32,48
38,66,21,4,6,44,24,66
39,57,29,3,24,35,63,63
104,105,41,7,7,26,62,105
39,62,36,12,12,47,46,62
96,121,41,12,14,67,53,121
30,45,7,8,18,29,31,45
56,77,46,8,6,30,47,77
65,106,9,4,12,30,22,106
42,106,10,4,7,91,16,91
35,27,4,1,11,84,28,84
75,98,33,7,50,16,33,98
54,98,24,7,27,16,33,54
75,96,21,8,7,43,74,96
95,107,60,5,19,47,146,146
110,143,36,11,10,48,156,156
44,143,25,11,4,46,25,46
73,91,21,6,6,38,48,91
100,94,29,7,21,66,43,100
63,77,44,2,18,25,25,77
27,34,18,5,6,16,36,36
29,42,18,2,10,40,61,61
22,33,29,5,3,22,17,33
66,84,39,2,15,55,45,84
36,40,7,1,16,21,18,40
62,40,78,1,21,68,25,78
101,40,90,1,58,90,82,101
98,97,47,7,13,35,73,98
87,111,54,7,77,59,48,111
36,67,15,5,23,72,3,72
43,49,18,2,5,35,23,49
44,103,8,3,1,31,3,103
62,83,24,3,38,21,60,83
67,81,14,4,4,46,101,101
64,80,46,26,2,57,55,80
87,90,18,4,8,30,52,90
81,91,24,5,5,59,107,107
138,109,19,6,60,26,77,138
83,81,14,7,3,23,73,83
49,65,6,12,11,26,37,65
78,111,10,12,27,32,31,111
64,78,18,4,10,26,34,78
121,129,35,19,14,20,60,129
49,129,8,19,10,32,18,49
186,109,18,2,4,20,42,186
88,93,27,4,8,29,14,93
109,116,22,4,10,21,133,133
25,67,12,2,4,21,24,67
44,67,19,2,4,43,15,44
19,32,26,1,17,44,8,44
27,91,11,3,32,17,13,91
25,42,24,1,7,35,15,42
39,44,22,6,6,31,17,44
13,23,6,8,5,24,9,24
40,56,15,7,8,17,32,56
22,57,9,7,8,15,32,57
26,51,13,1,15,28,23,51
42,60,10,1,7,16,8,60
59,92,66,3,49,35,43,92
32,40,5,4,10,38,43,43
46,70,18,3,14,35,20,70
62,54,26,4,37,61,11,62
28,48,58,9,1,46,1,58
30,43,3,1,3,19,36,43
30,30,3,1,55,74,36,74
36,36,8,1,74,66,6,74
53,82,14,4,10,100,6,100
41,75,10,2,7,53,2,75
65,65,20,2,15,5,36,65
32,68,20,6,7,42,18,68
37,46,11,3,7,47,32,47
38,67,21,4,6,45,24,67
40,58,31,3,23,44,59,59
112,107,44,7,7,28,60,112
40,64,36,11,13,47,46,64
96,121,41,11,15,55,53,121
32,47,8,8,18,33,32,47
57,77,46,8,6,31,46,77
65,106,10,4,12,31,22,106
42,106,10,4,7,100,16,100
36,27,4,1,11,84,27,84
79,99,31,7,54,17,32,99
54,99,24,7,27,17,32,54
79,98,22,8,8,46,75,98
98,109,61,5,19,49,144,144
113,145,36,11,10,48,156,156
41,145,25,11,4,46,24,46
73,90,20,6,6,42,48,90
101,96,30,7,21,67,43,101
63,77,44,2,18,25,22,77
27,34,18,5,6,18,32,34
29,42,18,2,11,40,59,59
21,32,29,5,3,22,17,32
70,88,41,2,15,61,41,88
36,40,8,1,16,21,17,40
60,40,77,1,21,71,23,77
100,40,92,1,58,95,60,100
91,97,47,7,13,37,67,97
84,110,56,7,76,51,42,110
35,66,14,5,22,73,3,73
44,50,18,2,5,40,23,50
46,105,8,3,1,33,3,105
64,85,24,3,37,22,58,85
66,81,14,4,4,54,99,99
66,82,45,26,2,60,60,82
89,91,19,4,8,31,51,91
84,94,28,5,5,63,101,101
138,111,18,6,61,26,74,138
84,83,14,7,3,24,71,84
51,67,6,12,11,27,36,67
79,113,10,12,29,32,29,113
65,80,18,3,10,26,33,80
124,130,36,19,14,22,57,130
49,130,8,19,10,32,18,49
190,111,17,2,4,21,41,190
89,96,25,3,8,32,15,96
110,117,22,4,10,21,129,129
25,68,12,2,4,21,22,68
43,68,19,2,4,44,15,44
19,30,26,1,17,44,8,44
28,90,12,3,32,19,12,90
25,42,24,1,7,37,14,42
39,44,22,6,6,30,16,44
13,23,6,8,5,25,9,25
41,57,16,7,8,18,29,57
22,56,9,7,8,15,29,56
26,51,14,1,15,29,23,51
40,59,10,1,6,16,7,59
62,95,61,3,50,37,43,95
32,41,5,4,10,38,41,41
47,71,18,3,14,37,19,71
62,55,26,4,37,69,9,69
28,49,58,9,1,45,1,58
31,43,3,1,3,19,35,43
31,30,3,1,55,74,35,74
38,38,8,1,74,66,6,74
52,78,14,4,10,99,6,99
40,75,10,2,7,55,2,75
63,64,20,2,15,5,34,64
34,69,19,6,8,48,16,69
37,47,11,3,7,46,31,47
39,68,20,4,6,46,24,68
46,60,32,3,23,49,55,60
121,109,45,7,8,30,56,121
41,66,36,12,13,47,46,66
97,121,41,12,15,50,52,121
34,49,10,8,18,38,32,49
58,79,46,8,6,32,43,79
65,106,10,4,12,34,22,106
43,106,10,4,7,108,16,108
38,28,4,1,11,84,25,84
80,99,30,7,54,19,29,99
55,99,24,7,27,19,29,55
82,98,22,8,10,50,76,98
102,111,61,6,20,51,127,127
116,147,36,12,11,48,146,147
42,147,25,12,4,47,22,47
70,90,20,6,6,46,46,90
100,97,30,7,22,67,43,100
63,78,44,2,18,26,19,78
27,34,18,6,6,19,31,34
30,42,18,2,11,40,55,55
21,30,30,5,3,23,18,30
72,91,43,2,14,64,38,91
38,42,8,1,16,22,17,42
58,42,76,1,21,74,18,76
97,42,92,1,58,93,47,97
85,95,47,7,13,39,59,95
75,106,60,7,76,51,36,106
35,65,14,5,22,74,3,74
45,52,18,2,5,44,23,52
48,106,8,3,1,36,3,106
66,86,24,3,36,23,53,86
66,81,14,4,4,59,91,91
68,84,45,26,2,62,65,84
92,93,19,4,8,32,56,93
84,95,29,5,5,63,101,101
138,112,18,6,61,27,70,138
86,84,14,7,3,25,67,86
52,69,6,12,11,27,35,69
81,114,11,12,31,32,26,114
67,82,18,3,11,27,32,82
126,132,35,19,14,23,51,132
50,132,8,19,10,32,18,50
192,112,17,2,4,22,38,192
91,98,24,3,8,35,15,98
111,117,22,4,10,21,124,124
25,66,12,2,4,21,17,66
41,66,19,2,4,49,14,49
19,28,26,1,17,43,7,43
28,89,12,3,32,20,10,89
26,43,25,1,7,37,14,43
39,44,22,6,5,29,15,44
13,23,6,8,5,26,8,26
41,59,16,7,8,19,26,59
23,59,9,7,8,15,26,59
26,51,14,1,15,29,23,51
39,59,10,1,7,16,7,59
62,95,56,3,50,39,43,95
32,41,5,4,10,40,38,41
47,71,18,3,14,39,17,71
59,54,26,4,37,69,9,69
28,49,59,9,1,42,1,59
31,42,3,1,3,20,35,42
31,30,3,1,55,74,35,74
37,37,8,1,74,66,6,74
53,77,14,4,10,99,5,99
39,75,11,2,7,57,2,75
61,62,20,2,15,5,31,62
34,70,17,6,8,54,13,70
37,48,11,3,8,46,30,48
38,67,20,4,6,38,23,67
47,62,32,3,22,51,50,62
131,112,46,7,8,32,52,131
41,68,37,12,13,48,43,68
93,122,41,12,14,57,48,122
35,50,11,8,18,40,30,50
59,80,46,8,6,34,39,80
66,105,10,4,12,33,15,105
44,105,10,4,7,107,16,107
38,29,4,1,11,84,23,84
79,98,29,7,52,22,26,98
57,98,23,7,27,22,26,57
86,100,23,8,11,52,73,100
107,113,61,6,21,53,105,113
119,148,34,12,11,50,129,148
43,148,25,12,4,45,21,45
70,90,20,6,6,48,43,90
99,97,29,7,23,65,41,99
134,110,22,1,22,21,53,134
64,78,43,2,18,27,15,78
26,34,18,6,6,20,27,34
26,39,17,2,9,38,20,39
20,28,32,4,2,20,17,32
37,45,11,1,16,30,17,45
56,45,75,1,21,71,9,75
50,45,22,1,12,39,68,68
78,45,86,1,59,42,68,86
104,108,51,7,13,41,18,108
66,97,162,7,78,65,12,162
36,72,15,5,22,73,3,73
47,59,18,2,6,23,24,59
37,54,8,2,13,24,1,54
55,112,8,3,1,25,3,112
78,100,23,3,20,22,13,100
76,83,16,4,4,69,28,83
84,104,44,26,1,57,58,104
116,107,20,5,9,31,60,116
117,124,32,4,6,59,71,124
121,124,32,4,11,69,30,121
26,85,10,12,8,25,14,85
154,116,16,12,8,116,15,154
139,116,17,7,63,25,38,139
105,99,13,7,3,24,25,105
57,79,5,14,9,30,33,79
115,121,12,14,46,28,12,121
93,97,15,3,6,27,12,97
123,112,48,5,8,36,18,123
123,46,13,22,6,22,7,46
85,107,15,41,1,39,4,107
76,107,16,41,6,10,63,76
244,145,13,1,4,20,18,244
128,115,17,2,9,50,10,128
98,107,22,8,10,29,26,107
25,66,12,2,4,29,168,168
35,66,19,2,5,47,10,47
20,28,27,1,17,41,6,41
27,93,13,3,32,5,8,93
27,45,24,1,7,18,9,45
13,21,6,8,4,37,8,37
41,61,18,4,9,17,41,61
26,47,16,1,16,26,20,47
39,58,10,1,7,15,9,58
57,65,31,3,53,29,32,65
29,38,5,4,11,39,67,67
45,72,19,3,13,23,8,72
79,228,21,6,18,11,22,228
43,39,30,3,38,31,6,43
16,74,13,3,17,59,9,74
18,14,18,3,11,48,3,48
46,61,10,6,10,94,4,94
36,63,11,2,5,40,1,63
41,49,14,2,16,4,15,49
20,69,29,2,10,4,15,69
42,52,6,8,11,37,3,52
48,59,11,3,9,50,16,59
64,86,23,2,8,50,13,86
65,82,23,2,17,36,11,82
62,84,23,2,4,23,9,84
76,79,10,2,10,13,9,79
42,70,20,4,7,45,8,70
58,59,39,3,20,37,23,59
169,128,47,8,7,38,15,169
47,77,32,10,12,37,16,77
96,124,40,10,15,66,11,124
47,64,25,9,18,30,17,64
67,79,46,8,6,32,10,79
66,95,13,5,12,17,10,95
45,95,11,5,7,63,11,63
41,30,5,1,11,78,10,78
75,97,26,9,49,19,18,97
61,97,20,9,27,19,18,61
137,156,28,8,12,21,25,156
85,99,20,9,13,44,14,99
149,137,66,6,27,25,24,149
140,146,45,6,21,72,16,146
37,146,47,6,7,72,10,47
147,151,32,12,14,72,38,151
40,151,24,12,4,30,19,40
79,96,16,5,9,21,31,96
82,88,24,8,21,52,14,88
61,73,37,2,19,12,6,73
27,34,18,9,5,17,13,34
27,40,17,2,9,38,24,40
20,28,33,4,2,22,16,33
36,45,12,1,15,28,17,45
57,45,74,1,21,70,10,74
49,45,22,1,12,41,71,71
78,45,88,1,59,50,71,88
102,106,51,7,13,41,23,106
65,96,170,7,78,64,15,170
37,73,15,5,22,73,3,73
47,60,18,2,6,23,24,60
37,54,8,2,13,24,1,54
55,112,8,3,1,25,3,112
80,101,23,3,18,22,15,101
75,82,16,4,4,61,36,82
84,104,46,27,1,59,58,104
116,107,20,5,9,30,59,116
117,125,32,4,6,58,65,125
118,125,32,4,11,69,30,118
26,85,10,12,8,25,18,85
149,120,16,12,8,115,19,149
137,116,17,7,63,24,40,137
106,99,13,7,3,23,28,106
57,79,5,14,10,28,35,79
115,122,12,14,45,29,14,122
94,99,15,3,6,27,13,99
123,112,48,5,8,33,21,123
123,47,13,22,6,21,6,47
86,108,15,41,1,39,7,108
76,108,15,41,6,10,60,76
249,147,13,1,4,19,19,249
129,114,17,2,10,47,9,129
98,107,21,8,10,29,30,107
25,57,12,2,4,29,31,57
36,57,19,2,5,50,9,50
20,27,27,1,18,42,6,42
26,92,13,3,32,10,12,92
27,45,24,1,8,20,10,45
13,21,6,8,4,36,8,36
40,60,18,4,10,19,43,60
25,46,16,1,17,37,20,46
38,58,10,1,7,15,9,58
58,65,31,3,54,29,33,65
29,38,5,4,11,39,67,67
45,72,19,3,13,23,9,72
79,229,21,6,18,11,22,229
42,39,31,3,38,31,6,42
16,73,13,3,17,59,9,73
19,13,18,3,12,48,4,48
46,57,9,6,10,94,4,94
36,65,11,2,5,41,1,65
41,49,15,2,16,5,17,49
23,69,29,2,10,5,17,69
45,50,6,8,11,37,5,50
50,62,11,3,9,50,18,62
63,86,23,2,7,50,15,86
66,83,23,2,18,36,11,83
62,85,23,2,5,22,10,85
77,81,10,2,10,13,10,81
42,70,20,4,6,45,7,70
171,129,48,8,7,36,15,171
46,77,32,10,12,38,16,77
97,123,40,10,15,67,16,123
47,64,27,9,18,32,19,64
67,80,46,8,6,32,13,80
66,94,13,5,12,19,11,94
45,94,11,5,8,70,10,70
42,30,4,1,11,79,12,79
76,97,26,9,48,18,20,97
61,97,20,9,27,18,20,61
138,155,28,8,12,21,31,155
84,98,20,9,13,44,15,98
137,145,46,6,21,72,19,145
38,145,47,6,7,72,11,47
145,149,30,11,14,70,47,149
41,149,24,11,4,32,19,41
79,96,16,5,9,22,34,96
82,88,24,8,21,53,15,88
61,72,36,3,18,12,7,72
27,33,18,9,5,17,14,33
29,42,17,2,9,38,30,42
20,28,34,4,2,24,16,34
36,44,12,1,15,26,17,44
57,44,74,1,21,70,10,74
49,44,22,1,12,48,74,74
79,44,88,1,59,58,74,88
79,99,3,1,14,32,24,99
103,106,50,7,12,41,24,106
64,95,179,7,78,62,19,179
37,74,15,5,22,74,3,74
47,60,18,2,6,24,24,60
37,55,7,2,13,22,1,55
57,109,8,3,1,25,3,109
80,102,23,3,18,23,19,102
75,80,16,5,5,52,44,80
82,105,47,29,1,61,56,105
116,107,20,5,9,29,61,116
118,126,32,4,6,56,62,126
116,126,32,4,11,69,35,116
26,88,10,12,8,25,22,88
144,119,15,12,8,114,26,144
135,116,16,8,63,23,43,135
107,100,13,7,3,23,32,107
56,79,5,14,10,26,37,79
114,123,12,14,43,28,18,123
94,101,16,3,7,27,15,101
122,112,47,5,8,30,26,122
122,48,13,21,6,19,7,48
87,109,15,41,1,39,8,109
76,109,16,41,6,10,56,76
246,149,13,1,4,18,19,246
131,115,18,2,10,43,17,131
97,107,20,8,10,29,34,107
25,44,12,2,4,29,35,44
36,44,19,2,5,53,10,53
20,26,27,1,18,42,6,42
26,91,13,3,32,14,18,91
28,45,24,1,8,22,11,45
13,21,6,8,4,35,8,35
40,60,18,4,10,20,44,60
25,45,15,1,17,38,21,45
39,58,10,1,7,16,9,58
59,65,31,3,53,30,35,65
31,40,5,4,11,39,69,69
46,72,18,3,13,23,10,72
79,229,21,6,18,12,22,229
43,38,32,3,38,36,7,43
17,74,13,3,17,60,9,74
19,13,19,3,12,51,4,51
47,56,9,7,10,93,4,93
35,63,11,2,4,42,1,63
43,50,15,2,16,5,21,50
24,70,29,2,10,5,21,70
45,49,5,8,12,37,7,49
52,65,11,3,10,50,20,65
63,85,24,2,7,50,18,85
66,84,24,2,18,36,11,84
63,86,24,2,5,20,11,86
79,81,10,2,10,12,11,81
43,71,20,4,7,40,6,71
172,129,47,8,7,30,21,172
46,77,32,10,12,40,16,77
95,122,40,10,15,60,22,122
48,65,28,9,18,34,22,65
67,79,46,8,6,32,16,79
65,94,13,5,12,19,11,94
46,94,11,5,8,76,10,76
42,30,4,1,11,80,14,80
76,96,26,10,48,17,23,96
61,96,19,10,27,17,23,61
139,155,28,8,12,21,41,155
85,99,20,9,13,44,18,99
134,144,45,6,21,70,24,144
39,144,47,6,7,70,13,47
142,148,30,11,14,68,154,154
40,148,24,11,4,33,19,40
78,97,16,5,10,25,36,97
85,90,24,8,21,53,18,90
61,72,35,3,18,13,9,72
27,33,17,9,5,17,16,33
31,44,17,2,10,40,36,44
20,27,34,4,2,24,16,34
34,43,12,1,15,24,17,43
57,43,73,1,21,70,10,73
51,43,22,1,7,51,78,78
78,43,85,1,60,66,78,85
78,99,3,1,13,33,24,99
103,107,49,7,12,39,35,107
65,94,191,7,79,61,25,191
38,74,15,5,22,74,3,74
47,61,18,2,6,25,23,61
58,109,8,3,1,25,3,109
81,101,23,3,18,23,25,101
76,80,16,5,5,47,52,80
82,106,48,29,1,62,57,106
118,109,19,5,9,27,50,118
118,126,32,4,6,54,64,126
117,126,32,4,11,69,45,117
29,89,10,13,8,24,29,89
141,118,15,13,8,113,34,141
135,116,16,8,63,22,45,135
107,101,13,7,3,22,37,107
55,81,5,14,10,24,41,81
115,123,12,14,43,28,20,123
95,102,18,3,7,26,20,102
124,114,48,5,8,29,27,124
124,49,13,21,6,17,7,49
88,110,15,41,1,40,11,110
77,110,15,41,6,11,53,77
166,144,30,17,16,37,75,166
58,144,9,17,11,35,17,58
244,150,13,1,4,17,20,244
130,114,18,2,10,41,17,130
97,108,20,8,10,37,42,108
25,37,12,2,4,37,170,170
36,37,20,2,5,44,10,44
19,25,27,1,17,43,6,43
26,91,13,3,32,14,19,91
28,46,24,1,8,24,12,46
15,22,6,8,4,32,9,32
40,61,18,4,10,22,46,61
25,44,15,1,17,38,21,44
40,60,10,1,7,16,10,60
60,65,31,3,53,30,38,65
33,42,5,4,11,39,71,71
46,72,18,3,13,25,12,72
79,232,21,6,18,12,22,232
43,38,31,3,38,41,7,43
17,74,13,3,17,60,9,74
20,13,19,3,15,53,4,53
46,54,9,7,10,93,4,93
32,60,11,2,4,42,1,60
45,52,15,2,15,4,26,52
24,71,29,2,10,4,26,71
44,50,4,8,12,46,10,50
54,66,11,3,10,48,23,66
63,85,25,2,7,48,22,85
68,87,25,2,18,35,12,87
64,87,25,2,5,19,13,87
80,82,10,2,10,11,13,82
41,70,20,4,7,37,8,70
172,130,46,8,7,27,30,172
45,75,32,10,12,42,15,75
96,122,39,10,15,58,26,122
50,66,28,9,17,34,25,66
67,79,46,8,6,32,20,79
66,94,13,5,12,22,13,94
46,94,11,5,8,82,10,82
43,30,4,1,11,81,16,81
76,97,26,10,48,16,23,97
61,97,19,10,27,16,23,61
140,156,28,8,13,20,55,156
85,99,20,9,13,46,25,99
131,142,44,6,21,69,31,142
41,142,47,6,7,69,18,47
140,148,29,11,13,65,167,167
40,148,24,11,4,35,19,40
79,98,16,5,10,27,38,98
88,92,24,8,22,52,23,92
61,72,34,3,18,13,11,72
27,33,17,9,5,17,18,33
33,45,18,2,10,40,42,45
19,27,34,4,2,24,16,34
35,42,12,1,15,23,17,42
55,42,73,1,20,71,10,73
49,42,23,1,8,54,84,84
80,42,84,1,60,67,84,84
80,99,3,1,13,34,34,99
103,107,49,7,13,37,45,107
66,93,202,7,77,60,32,202
37,75,15,5,22,74,3,75
46,61,18,2,6,26,23,61
37,54,7,2,13,22,1,54
61,109,8,3,1,25,3,109
85,102,22,3,18,23,33,102
76,80,16,5,5,44,66,80
87,110,48,29,1,61,58,110
120,109,19,5,8,24,43,120
118,126,32,4,6,54,66,126
117,126,32,4,11,69,166,166
29,91,10,13,8,23,34,91
137,117,15,13,8,114,40,137
134,117,16,8,63,21,48,134
107,102,13,7,3,22,44,107
54,82,5,14,10,23,42,82
116,124,12,14,41,30,25,124
96,103,20,4,7,26,24,103
126,116,49,5,8,28,30,126
126,50,13,20,6,15,7,50
88,111,15,41,1,40,13,111
78,111,15,41,6,10,50,78
165,144,30,17,17,37,76,165
58,144,9,17,11,35,18,58
242,152,12,1,4,16,21,242
128,113,18,2,10,38,16,128
97,109,21,8,10,48,157,157
25,33,12,2,4,48,64,64
36,33,20,2,5,48,9,48
19,23,27,1,17,44,6,44
27,91,13,3,32,14,19,91
29,46,24,1,7,26,14,46
15,22,6,8,4,31,9,31
41,62,18,3,11,24,48,62
25,42,15,1,18,38,22,42
41,61,11,1,7,17,11,61
61,66,31,3,54,31,41,66
34,43,5,4,11,39,69,69
47,73,18,3,13,28,13,73
78,233,21,6,18,13,23,233
39,35,31,3,38,42,7,42
17,73,13,3,17,61,9,73
19,16,20,3,19,56,4,56
46,52,9,7,10,100,4,100
30,56,11,2,4,43,1,56
47,53,15,2,13,4,30,53
27,72,29,2,10,4,30,72
44,55,4,8,12,45,14,55
57,68,11,3,10,47,27,68
64,86,27,3,7,47,26,86
71,90,27,3,17,34,12,90
66,89,27,3,5,18,15,89
80,83,10,3,10,11,15,83
41,70,21,4,7,35,11,70
171,129,46,8,7,25,40,171
44,74,31,10,12,44,17,74
98,122,39,10,10,65,31,122
50,67,28,9,17,33,27,67
67,80,45,8,6,39,25,80
69,98,13,5,12,25,14,98
46,98,11,5,8,87,11,87
43,30,4,1,11,82,20,82
77,97,27,10,48,16,24,97
61,97,18,10,27,16,24,61
140,156,28,8,13,18,69,156
86,100,20,9,13,44,35,100
129,141,43,6,21,69,39,141
44,141,48,6,7,69,23,48
140,148,29,11,13,63,150,150
41,148,24,11,4,37,21,41
78,98,16,5,10,29,39,98
91,93,23,8,23,52,31,93
58,70,33,3,18,13,13,70
28,34,17,8,5,17,20,34
34,46,18,2,10,40,48,48
19,27,34,4,2,23,16,34
36,43,12,1,15,22,17,43
53,43,72,1,19,71,10,72
47,43,22,1,8,55,90,90
81,43,81,1,61,66,90,81
81,99,3,1,14,35,45,99
102,106,48,7,13,35,56,106
66,93,208,7,80,59,40,208
37,75,15,5,22,75,3,75
46,62,18,2,6,27,23,62
37,54,7,2,13,21,1,54
61,109,8,3,1,25,3,109
85,103,22,3,18,23,41,103
76,80,16,5,5,40,77,80
91,114,47,28,1,61,60,114
123,109,19,5,6,20,34,123
118,127,33,3,6,53,71,127
116,127,33,3,11,70,170,170
27,92,10,14,7,22,39,92
139,120,15,14,7,114,46,139
134,117,16,8,63,20,51,134
106,102,13,7,3,21,51,106
55,81,5,13,10,23,44,81
116,125,12,13,39,30,30,125
98,104,22,4,7,26,28,104
126,116,49,5,7,26,38,126
126,51,13,20,5,14,7,51
89,112,15,41,1,39,16,112
81,112,15,41,6,10,47,81
165,144,31,17,17,37,82,165
58,144,9,17,11,34,18,58
239,152,12,1,4,16,23,239
126,112,18,2,10,36,18,126
97,110,21,8,11,55,68,110
25,31,12,2,4,55,68,68
35,31,20,2,5,51,10,51
19,23,27,1,17,44,6,44
26,93,13,3,32,13,19,93
29,46,24,1,7,27,16,46
15,22,6,8,4,30,9,30
42,64,18,3,11,26,50,64
24,40,14,1,18,39,22,40
42,62,10,1,7,17,11,62
62,67,32,3,55,31,44,67
35,44,6,4,11,40,69,69
49,73,19,3,13,32,14,73
78,238,21,6,18,15,23,238
39,34,31,3,39,44,7,44
18,74,13,3,17,62,9,74
19,17,21,3,21,57,3,57
17,20,4,1,6,10,34,34
